Country Name,Country Code,Indicator Name,Indicator Code,Years,Value
Africa Eastern and Southern,AFE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1971,7.854248591
Africa Eastern and Southern,AFE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1972,7.114661403
Africa Eastern and Southern,AFE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1973,7.297536728
Africa Eastern and Southern,AFE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1974,7.441388613
Africa Eastern and Southern,AFE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1975,7.501636211
Africa Eastern and Southern,AFE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1976,7.398256811
Africa Eastern and Southern,AFE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1977,7.347928621
Africa Eastern and Southern,AFE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1978,8.222566829
Africa Eastern and Southern,AFE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1979,8.016470772
Africa Eastern and Southern,AFE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1980,8.091670267
Africa Eastern and Southern,AFE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1981,7.632633898
Africa Eastern and Southern,AFE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1982,7.802150597
Africa Eastern and Southern,AFE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1983,8.241301265
Africa Eastern and Southern,AFE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1984,6.734153287
Africa Eastern and Southern,AFE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1985,6.751626257
Africa Eastern and Southern,AFE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1986,5.066041512
Africa Eastern and Southern,AFE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1987,5.949911911
Africa Eastern and Southern,AFE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1988,5.624047652
Africa Eastern and Southern,AFE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1989,5.992729523
Africa Eastern and Southern,AFE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1990,6.801493685
Africa Eastern and Southern,AFE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1991,7.38606057
Africa Eastern and Southern,AFE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1992,8.261470246
Africa Eastern and Southern,AFE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1993,7.723381745
Africa Eastern and Southern,AFE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1994,8.238042829
Africa Eastern and Southern,AFE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1995,6.850106264
Africa Eastern and Southern,AFE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1996,8.029657406
Africa Eastern and Southern,AFE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1997,8.303373695
Africa Eastern and Southern,AFE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1998,8.843838128
Africa Eastern and Southern,AFE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1999,8.834761702
Africa Eastern and Southern,AFE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000,8.88752946
Africa Eastern and Southern,AFE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2001,8.906289642
Africa Eastern and Southern,AFE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2002,7.82246585
Africa Eastern and Southern,AFE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2003,9.069003439
Africa Eastern and Southern,AFE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2004,10.81346227
Africa Eastern and Southern,AFE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2005,9.630202581
Africa Eastern and Southern,AFE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2006,9.772202881
Africa Eastern and Southern,AFE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2007,9.737485386
Africa Eastern and Southern,AFE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2008,10.29411312
Africa Eastern and Southern,AFE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2009,11.25656329
Africa Eastern and Southern,AFE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2010,10.96064212
Africa Eastern and Southern,AFE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2011,10.5280814
Africa Eastern and Southern,AFE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2012,10.27660808
Africa Eastern and Southern,AFE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2013,10.39318238
Africa Eastern and Southern,AFE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2014,10.59476561
Africa Western and Central,AFW,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1971,8.755186722
Africa Western and Central,AFW,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1972,9.342940889
Africa Western and Central,AFW,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1973,9.727920536
Africa Western and Central,AFW,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1974,6.954666667
Africa Western and Central,AFW,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1975,9.413077853
Africa Western and Central,AFW,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1976,10.34948506
Africa Western and Central,AFW,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1977,9.767334716
Africa Western and Central,AFW,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1978,7.278709574
Africa Western and Central,AFW,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1979,17.07692308
Africa Western and Central,AFW,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1980,16.85380117
Africa Western and Central,AFW,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1981,25.48732943
Africa Western and Central,AFW,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1982,14.49690282
Africa Western and Central,AFW,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1983,16.83087507
Africa Western and Central,AFW,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1984,27.25409836
Africa Western and Central,AFW,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1985,22.84339323
Africa Western and Central,AFW,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1986,19.02377972
Africa Western and Central,AFW,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1987,19.98770528
Africa Western and Central,AFW,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1988,21.49271433
Africa Western and Central,AFW,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1989,20.44546426
Africa Western and Central,AFW,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1990,24.46478554
Africa Western and Central,AFW,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1991,24.15334302
Africa Western and Central,AFW,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1992,24.74618847
Africa Western and Central,AFW,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1993,18.72743208
Africa Western and Central,AFW,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1994,23.51344934
Africa Western and Central,AFW,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1995,25.77107608
Africa Western and Central,AFW,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1996,26.87564075
Africa Western and Central,AFW,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1997,26.34197512
Africa Western and Central,AFW,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1998,26.50185898
Africa Western and Central,AFW,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1999,27.54770907
Africa Western and Central,AFW,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000,28.77617222
Africa Western and Central,AFW,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2001,28.88210072
Africa Western and Central,AFW,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2002,29.24832247
Africa Western and Central,AFW,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2003,28.91048883
Africa Western and Central,AFW,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2004,27.53744703
Africa Western and Central,AFW,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2005,23.11663823
Africa Western and Central,AFW,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2006,26.07110493
Africa Western and Central,AFW,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2007,15.6476232
Africa Western and Central,AFW,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2008,16.28227491
Africa Western and Central,AFW,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2009,14.37851696
Africa Western and Central,AFW,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2010,18.72691523
Africa Western and Central,AFW,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2011,15.59020434
Africa Western and Central,AFW,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2012,14.94153744
Africa Western and Central,AFW,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2013,18.20066004
Africa Western and Central,AFW,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2014,17.90314741
Angola,AGO,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1971,25.06738544
Angola,AGO,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1972,25.05966587
Angola,AGO,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1973,25
Angola,AGO,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1974,24.97965826
Angola,AGO,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1975,24.98084291
Angola,AGO,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1976,24.95726496
Angola,AGO,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1977,24.95726496
Angola,AGO,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1978,24.95726496
Angola,AGO,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1979,25.07936508
Angola,AGO,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1980,25.03703704
Angola,AGO,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1981,25.03703704
Angola,AGO,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1982,25
Angola,AGO,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1983,25.03192848
Angola,AGO,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1984,25.07462687
Angola,AGO,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1985,25.06203474
Angola,AGO,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1986,25.06203474
Angola,AGO,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1987,25.0617284
Angola,AGO,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1988,25.03067485
Angola,AGO,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1989,25.03052503
Angola,AGO,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1990,25.08917955
Angola,AGO,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1991,28.58672377
Angola,AGO,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1992,28.51108765
Angola,AGO,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1993,28.42105263
Angola,AGO,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1994,28.37696335
Angola,AGO,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1995,28.4375
Angola,AGO,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1996,28.40466926
Angola,AGO,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1997,10.03490401
Angola,AGO,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1998,14.56752656
Angola,AGO,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1999,14.53183521
Angola,AGO,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000,14.60207612
Angola,AGO,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2001,14.52991453
Angola,AGO,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2002,14.61756374
Angola,AGO,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2003,12.93233083
Angola,AGO,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2004,26.43369176
Angola,AGO,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2005,23.76166547
Angola,AGO,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2006,11.79673321
Angola,AGO,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2007,13.39757538
Angola,AGO,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2008,10.00962464
Angola,AGO,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2009,10.01055966
Angola,AGO,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2010,11.50669848
Angola,AGO,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2011,11.27234118
Angola,AGO,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2012,11.26692456
