Country Name,Country Code,Indicator Name,Indicator Code,Years,Value
Africa Eastern and Southern,AFE,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,1971,2.492833246
Africa Eastern and Southern,AFE,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,1972,2.305648971
Africa Eastern and Southern,AFE,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,1973,2.171909277
Africa Eastern and Southern,AFE,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,1974,1.81112648
Africa Eastern and Southern,AFE,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,1975,1.587848411
Africa Eastern and Southern,AFE,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,1976,1.53943072
Africa Eastern and Southern,AFE,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,1977,1.364051938
Africa Eastern and Southern,AFE,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,1978,1.246729915
Africa Eastern and Southern,AFE,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,1979,1.336447659
Africa Eastern and Southern,AFE,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,1980,1.236500835
Africa Eastern and Southern,AFE,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,1981,1.124744764
Africa Eastern and Southern,AFE,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,1982,1.025240801
Africa Eastern and Southern,AFE,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,1983,1.041054871
Africa Eastern and Southern,AFE,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,1984,0.907660026
Africa Eastern and Southern,AFE,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,1985,0.848687393
Africa Eastern and Southern,AFE,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,1986,0.889319948
Africa Eastern and Southern,AFE,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,1987,0.956490725
Africa Eastern and Southern,AFE,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,1988,0.874257853
Africa Eastern and Southern,AFE,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,1989,0.704789854
Africa Eastern and Southern,AFE,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,1990,0.858117255
Africa Eastern and Southern,AFE,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,1991,0.863125697
Africa Eastern and Southern,AFE,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,1992,0.866330895
Africa Eastern and Southern,AFE,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,1993,0.894451458
Africa Eastern and Southern,AFE,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,1994,1.135242708
Africa Eastern and Southern,AFE,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,1995,1.349757023
Africa Eastern and Southern,AFE,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,1996,1.190171745
Africa Eastern and Southern,AFE,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,1997,1.487297455
Africa Eastern and Southern,AFE,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,1998,1.284814575
Africa Eastern and Southern,AFE,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,1999,1.76823049
Africa Eastern and Southern,AFE,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000,2.016792307
Africa Eastern and Southern,AFE,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2001,1.780885358
Africa Eastern and Southern,AFE,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2002,1.600265432
Africa Eastern and Southern,AFE,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2003,1.68171433
Africa Eastern and Southern,AFE,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2004,2.028459269
Africa Eastern and Southern,AFE,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2005,2.082271785
Africa Eastern and Southern,AFE,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2006,2.24949947
Africa Eastern and Southern,AFE,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2007,2.560340971
Africa Eastern and Southern,AFE,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2008,2.71593411
Africa Eastern and Southern,AFE,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2009,2.812554055
Africa Eastern and Southern,AFE,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2010,1.94191782
Africa Eastern and Southern,AFE,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2011,2.256480517
